A,B,DISTANCE,LINKID,TAZID,HOT_ZONEID,LANES,FT,SEGID,geometry
21220,21187,0.20675938551789352,21220_21187,1980,0,1,41,,"LINESTRING (417212 4490587, 417268 4490259)"
21229,21258,0.1528872311485677,21229_21258,2139,0,3,32,0154_000.8,"LINESTRING (423750.494 4484117.472, 423996.5402 4484116.661)"
21235,21217,0.08008737713533659,21235_21217,2139,0,3,32,0154_000.8,"LINESTRING (423770.8748 4484130.72, 423642.4754 4484119.51)"
21239,21270,0.2004724104696267,21239_21270,1956,0,1,41,,"LINESTRING (417355 4490588, 417295 4490905)"
21258,21299,0.20037455065666854,21258_21299,2139,0,3,32,0154_000.5,"LINESTRING (423996.5402 4484116.661, 424319 4484114)"
21260,21235,0.14022664521508557,21260_21235,2139,0,3,32,0154_000.8,"LINESTRING (423996.5402 4484132.491, 423770.8748 4484130.72)"
21266,21220,0.20085627420263802,21266_21220,1970,0,1,42,,"LINESTRING (417270 4490905, 417212 4490587)"
21272,21167,0.5403018426896918,21272_21167,2141,0,5,34,0015_288.2,"LINESTRING (424480.7052 4483728.619, 424466.1179 4482859.212)"
21273,21168,0.5463347824919476,21273_21168,2141,0,1,38,0015_288.2,"LINESTRING (424489.4577 4483729.592, 424475.8428 4482850.459)"
21274,21322,0.2031926852938182,21274_21322,2139,0,1,38,,"LINESTRING (424500 4483731, 424502 4484058)"
21276,21325,0.20407250603960295,21276_21325,2143,0,5,34,,"LINESTRING (424506.9625 4483729.592, 424510 4484058)"
21276,21338,0.24145912521445762,21276_21338,2143,0,2,42,,"LINESTRING (424506.9625 4483729.592, 424576 4484112)"
21299,21319,0.06897517268762927,21299_21319,2139,0,3,32,,"LINESTRING (424319 4484114, 424430 4484115)"
21304,21260,0.2016164154444542,21304_21260,2139,0,3,32,0154_000.5,"LINESTRING (424321 4484130, 423996.5402 4484132.491)"
21319,21272,0.24214513222850484,21319_21272,2139,0,2,41,,"LINESTRING (424430 4484115, 424480.7052 4483728.619)"
21322,21325,0.004970981893198455,21322_21325,2139,0,1,39,,"LINESTRING (424502 4484058, 424510 4484058)"
21322,21387,0.28896237467926517,21322_21387,2128,0,1,38,,"LINESTRING (424502 4484058, 424508 4484523)"
21323,21304,0.0677324785685091,21323_21304,2128,0,3,32,,"LINESTRING (424430 4484131, 424321 4484130)"
21325,21322,0.004970981893198455,21325_21322,2139,0,1,39,,"LINESTRING (424510 4484058, 424502 4484058)"
21325,21388,0.28646967960163094,21325_21388,2129,0,5,34,,"LINESTRING (424510 4484058, 424515 4484519)"
21339,21388,0.24324976861400802,21339_21388,2129,0,2,41,,"LINESTRING (424574 4484132, 424515 4484519)"
21340,21272,0.30351040521375006,21340_21272,2139,0,5,34,,"LINESTRING (424489 4484217, 424480.7052 4483728.619)"
21340,21343,0.005592354629848261,21340_21343,2128,0,1,39,,"LINESTRING (424489 4484217, 424498 4484217)"
21343,21273,0.30290855277127693,21343_21273,2139,0,1,38,,"LINESTRING (424498 4484217, 424489.4577 4483729.592)"
21343,21340,0.005592354629848261,21343_21340,2128,0,1,39,,"LINESTRING (424498 4484217, 424489 4484217)"
21383,21323,0.24425007549864772,21383_21323,2128,0,2,42,,"LINESTRING (424493 4484519, 424430 4484131)"
21383,21340,0.18767102595134216,21383_21340,2128,0,5,34,,"LINESTRING (424493 4484519, 424489 4484217)"
21387,21574,1.043953539182891,21387_21574,2128,0,1,38,0015_289.8,"LINESTRING (424508 4484523, 424524 4486203)"
21388,21576,1.0489303702728263,21388_21576,2128,0,5,34,0015_289.8,"LINESTRING (424515 4484519, 424532 4486207)"
21389,21343,0.19574819230347337,21389_21343,2128,0,1,38,,"LINESTRING (424502 4484532, 424498 4484217)"
21464,21534,0.30753940017647957,21464_21534,908,0,2,35,0080_101.5,"LINESTRING (399344.91 4510398.213, 399723.9765 4510716.442)"
21468,21197,0.9597518704918687,21468_21197,906,0,2,35,0080_101.5,"LINESTRING (399333.2104 4510423.952, 398046.2559 4509569.882)"
21534,21648,0.40875946665409785,21534_21648,908,0,1,42,,"LINESTRING (399723.9765 4510716.442, 400346.3945 4510929.374)"
21534,21726,0.7066381080388828,21534_21726,908,0,2,35,,"LINESTRING (399723.9765 4510716.442, 400503.169 4511544.772)"
21541,21592,0.2001341171019488,21541_21592,1776,0,1,42,,"LINESTRING (417325 4493145, 417382 4493462)"
21551,21468,0.33592455776219793,21551_21468,906,0,2,35,0080_101.5,"LINESTRING (399740.356 4510779.619, 399333.2104 4510423.952)"
21567,21536,0.2013170952600253,21567_21536,1775,0,1,41,,"LINESTRING (417238 4493462, 417300 4493144)"
21570,21383,1.0476655758752422,21570_21383,2128,0,5,34,0015_289.8,"LINESTRING (424506 4486205, 424493 4484519)"
21571,21389,1.0364765462295786,21571_21389,2128,0,1,38,0015_289.8,"LINESTRING (424514 4486200, 424502 4484532)"
21574,21615,0.22060132383216188,21574_21615,2119,0,1,38,,"LINESTRING (424524 4486203, 424528 4486558)"
