Z,X,Y,ACRES,DEVACRES,SQMILE,CBD,PRKCSTPERM,PRKCSTTEMP,POP5,EMP5,DEVACRE5,URBANVAL,ATYPE,TERMTIME
198,410001.00000,4562562.00000,316.91,316.91,0.49517,0,0.00,0.00,3089,18,2964,1.05,2,1
199,407751.00000,4575282.00000,1490.94,1476.03,2.32959,0,0.00,0.00,1044,18,4384,0.25,1,1
200,409422.16410,4575821.15100,664.60,664.60,1.03844,0,0.00,0.00,1156,8,4914,0.24,1,1
201,410580.00000,4575780.00000,385.74,385.74,0.60272,0,0.00,0.00,1043,0,3625,0.29,1,1
202,411323.00000,4575440.00000,421.45,421.45,0.65852,0,0.00,0.00,3012,135,3485,0.94,1,1
203,408702.00000,4573738.00000,519.27,477.73,0.81137,0,0.00,0.00,1946,420,3483,0.81,1,1
204,410113.00000,4574014.00000,283.02,283.02,0.44221,0,0.00,0.00,2484,436,2438,1.39,2,1
205,411331.00000,4574590.00000,193.15,193.15,0.30179,0,0.00,0.00,3815,140,2857,1.44,2,1
206,411964.00000,4574286.00000,188.98,188.98,0.29527,0,0.00,0.00,4909,328,2872,1.95,2,1
207,406884.00000,4573703.00000,417.55,413.37,0.65242,0,0.00,0.00,1363,30,5192,0.27,1,1
208,410581.00000,4573555.00000,188.03,188.03,0.29380,0,0.00,0.00,3623,418,2253,1.99,2,1
209,411714.00000,4573570.00000,321.00,321.00,0.50156,0,0.00,0.00,4222,27,2313,1.85,2,1
210,406853.00000,4572709.00000,395.23,391.28,0.61755,0,0.00,0.00,1624,32,3768,0.45,1,1
211,408274.22430,4572836.50800,175.77,175.77,0.27464,0,0.00,0.00,2439,596,2354,1.56,2,1
212,408893.00000,4572790.00000,116.23,116.23,0.18162,0,0.00,0.00,3124,619,2026,2.17,2,1
213,409966.00000,4572786.00000,300.47,300.47,0.46949,0,0.00,0.00,3694,443,2271,2.03,2,1
214,411646.40290,4572637.65800,376.87,376.87,0.58885,0,0.00,0.00,4822,422,2429,2.34,2,1
215,408092.00000,4571707.00000,280.44,280.44,0.43818,0,0.00,0.00,2541,193,2386,1.23,2,1
216,408801.00000,4572195.00000,51.92,51.92,0.08113,0,0.00,0.00,3151,611,1659,2.66,2,1
217,409859.00000,4572168.00000,172.85,172.85,0.27008,0,0.00,0.00,2924,599,1524,2.73,2,1
218,411701.86950,4572145.39200,228.50,228.50,0.35703,0,0.00,0.00,4097,22,2371,1.75,2,1
219,408766.00000,4571472.00000,146.76,146.76,0.22932,0,0.00,0.00,2694,211,1689,1.85,2,1
220,409587.20570,4571562.99300,303.44,303.44,0.47413,0,0.00,0.00,2761,599,1566,2.55,2,1
221,411575.00000,4571400.00000,485.98,485.98,0.75935,0,0.00,0.00,3568,1029,2491,2.29,2,1
222,407883.00000,4570310.00000,340.43,330.22,0.53192,0,0.00,0.00,1807,176,3468,0.63,1,1
223,408995.00000,4570823.00000,113.60,111.32,0.17749,0,0.00,0.00,2042,183,1864,1.30,2,1
224,412828.00000,4575753.00000,556.83,551.26,0.87004,0,0.00,0.00,3652,756,2834,1.84,2,1
225,413529.65810,4575458.72700,192.99,192.99,0.30155,0,0.00,0.00,4327,2081,2663,3.24,2,1
226,413073.25950,4574195.81600,323.89,323.89,0.50608,0,0.00,0.00,5053,1844,2682,3.31,2,1
227,413542.16210,4574158.30300,307.64,307.64,0.48070,0,0.00,0.00,2895,2959,2152,4.19,2,1
228,412943.00000,4572820.00000,209.47,209.47,0.32730,0,0.00,0.00,4667,421,2238,2.48,2,1
229,413746.00000,4572794.00000,198.42,198.42,0.31003,0,0.00,0.00,3641,2726,2135,4.35,2,1
230,414446.00000,4572726.00000,163.58,163.58,0.25560,0,0.00,0.00,3661,5302,2112,6.93,3,1
231,415480.29290,4572539.02600,451.83,447.31,0.70599,0,0.00,0.00,7001,5262,2185,8.19,3,1
232,412948.21880,4572076.37600,130.02,130.02,0.20316,0,0.00,0.00,4595,2489,2370,4.11,2,1
233,413764.00000,4571889.00000,141.92,141.92,0.22175,0,0.00,0.00,4704,2935,2181,4.94,2,1
234,414788.00000,4571649.00000,271.58,271.58,0.42434,0,0.00,0.00,3420,4376,2025,6.16,3,1
235,413227.00000,4570831.00000,435.65,435.65,0.68071,0,0.00,0.00,3722,1828,2536,2.96,2,1
236,414881.79310,4570636.89000,382.84,382.84,0.59818,0,0.00,0.00,4667,2299,2235,4.22,2,1
237,414484.00000,4570086.00000,154.93,151.83,0.24207,0,0.00,0.00,4512,2331,2413,3.87,2,1
238,413441.00000,4570149.00000,247.85,247.85,0.38726,0,0.00,0.00,2868,2291,2390,3.18,2,1
239,416743.20380,4577665.69500,307.10,307.10,0.47984,0,0.00,0.00,3496,2,3735,0.94,1,1
240,417709.00000,4577634.00000,190.11,155.89,0.29705,0,0.00,0.00,4635,8,2237,2.08,2,1
241,414996.00000,4576869.00000,434.78,413.04,0.67934,0,0.00,0.00,2533,718,2793,1.44,2,1
